label,rms_x,rms_y,rms_z,peak_freq_x,peak_freq_y,peak_freq_z,kurtosis_z,server_time
motor_good,13.3907,2.8768,68.1166,6.59,6.64,7.1,68.0364,2026-02-07 23:04:48
motor_good,13.3434,2.6638,68.6592,6.75,4.77,7.24,67.7573,2026-02-07 23:04:48
motor_good,13.54,2.9289,68.343,7.15,6.93,7.16,68.1681,2026-02-07 23:04:48
motor_good,13.5468,3.0495,67.7288,7.13,6.04,6.97,68.0799,2026-02-07 23:04:48
motor_good,13.2616,2.9648,68.0377,6.87,6.11,7.13,67.9382,2026-02-07 23:04:48
motor_good,13.3188,3.0737,67.9651,6.81,6.99,7.01,68.2114,2026-02-07 23:04:53
motor_good,13.6144,2.9508,68.153,7.22,5.01,7.22,67.7826,2026-02-07 23:04:53
motor_good,13.4663,2.882,68.6167,7.04,5.94,7.21,67.8402,2026-02-07 23:04:53
motor_good,13.7407,2.9095,68.7047,7.1,4.99,7.05,67.6415,2026-02-07 23:04:53
motor_good,13.3223,3.2069,67.9525,6.41,6.62,6.72,68.1638,2026-02-07 23:04:53
motor_good,13.173,3.0409,68.2161,6.87,6.04,7.13,67.6692,2026-02-07 23:04:59
motor_good,13.5644,2.8188,68.6027,7.26,4.97,7.12,67.8703,2026-02-07 23:04:59
motor_good,13.3026,3.0975,67.9424,6.8,6.46,7.09,68.1199,2026-02-07 23:04:59
motor_good,13.2852,3.0092,68.1704,6.82,6.44,7.1,67.9434,2026-02-07 23:04:59
motor_good,13.3089,3.0207,68.1424,6.78,7.25,6.96,68.1771,2026-02-07 23:04:59
motor_good,13.0261,3.3344,67.1966,6.59,8.84,6.87,68.46,2026-02-07 23:05:04
motor_good,13.1908,3.1321,67.853,6.8,6.8,6.87,68.3256,2026-02-07 23:05:04
motor_good,13.4987,2.9078,68.3665,6.65,5.72,6.91,68.052,2026-02-07 23:05:04
motor_good,13.3061,3.1816,67.6741,6.63,6.39,6.86,68.1505,2026-02-07 23:05:04
motor_good,13.6063,2.9444,68.6885,7.42,5.04,7.26,67.6056,2026-02-07 23:05:04
motor_good,13.4606,2.9327,68.8465,7.06,5.04,7.06,67.5383,2026-02-07 23:05:10
motor_good,13.3116,2.9893,68.2643,7.08,6.04,6.96,68.2042,2026-02-07 23:05:10
motor_good,13.5473,2.9947,68.4502,7.17,4.87,7.03,67.4663,2026-02-07 23:05:10
motor_good,13.3218,3.0106,68.0878,6.36,4.95,6.58,68.2214,2026-02-07 23:05:10
motor_good,13.2862,2.8026,68.0722,6.95,6.22,7.17,67.9818,2026-02-07 23:05:10
motor_good,13.2729,2.7488,68.0435,7.07,5.59,7.0,68.2817,2026-02-07 23:05:15
motor_good,13.3062,2.7487,68.0695,7.05,5.81,7.1,68.1414,2026-02-07 23:05:15
motor_good,13.3418,2.8841,68.0186,7.05,6.53,6.93,68.4227,2026-02-07 23:05:15
motor_good,13.2784,2.9543,68.1005,6.96,6.19,7.05,68.256,2026-02-07 23:05:15
motor_good,13.3055,2.8417,68.1966,7.08,6.34,7.1,67.9665,2026-02-07 23:05:15
motor_good,13.3252,2.9229,68.4823,7.08,5.2,7.02,67.7829,2026-02-07 23:05:21
motor_good,13.3554,3.0644,67.7592,7.17,5.91,7.08,67.7363,2026-02-07 23:05:21
motor_good,13.2597,2.9922,68.1879,7.15,6.64,7.08,67.8632,2026-02-07 23:05:21
motor_good,13.2541,3.025,68.126,7.15,6.2,7.02,67.7887,2026-02-07 23:05:21
motor_good,13.4122,3.0146,68.2889,6.89,7.92,6.98,68.2533,2026-02-07 23:05:21
